Trial,num_turns,num_R,num_L,LLLL,LLLR,LLRL,LLRR,LRLL,LRLR,LRRL,LRRR,RLLL,RLLR,RLRL,RLRR,RRLL,RRLR,RRRL,RRRR,alternations,repetitions,Animal_Number,Group,anxiety_group
3,121,58,63,0,0,3.51,3.51,6.14,35.09,4.39,0,0,7.02,35.96,0.88,0.88,2.63,0,0,71.05,0,36,CAS,High Anxiety
4,101,43,58,3.49,2.33,9.3,1.16,8.14,27.91,3.49,0,2.33,6.98,27.91,2.33,1.16,3.49,0,0,55.81,3.49,36,CAS,High Anxiety
5,103,43,60,6.78,6.78,8.47,1.69,8.47,20.34,3.39,3.39,3.39,5.08,20.34,5.08,1.69,0,3.39,1.69,40.68,8.47,36,CAS,High Anxiety
6,88,38,50,7.35,2.94,4.41,2.94,4.41,30.88,2.94,1.47,2.94,4.41,27.94,1.47,2.94,1.47,1.47,0,58.82,7.35,36,CAS,High Anxiety
1,76,43,33,0,0,0,3.7,1.85,16.67,7.41,5.56,0,3.7,22.22,9.26,1.85,12.96,5.56,9.26,38.89,9.26,37,CTRL,Low Anxiety
2,97,51,46,2.38,2.38,3.57,4.76,3.57,23.81,2.38,5.95,2.38,5.95,25,2.38,4.76,3.57,4.76,2.38,48.81,4.76,37,CTRL,Low Anxiety
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,CTRL,Low Anxiety
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,CTRL,Low Anxiety
5,60,38,22,2.04,4.08,2.04,4.08,2.04,8.16,8.16,6.12,2.04,2.04,8.16,14.29,2.04,12.24,6.12,16.33,16.33,18.37,37,CTRL,Low Anxiety
6,96,62,34,1.49,1.49,1.49,4.48,0,10.45,4.48,8.96,1.49,4.48,10.45,8.96,8.96,5.97,10.45,16.42,20.9,17.91,37,CTRL,Low Anxiety
1,115,54,61,5.21,7.29,8.33,4.17,7.29,10.42,6.25,5.21,7.29,6.25,9.38,6.25,5.21,5.21,5.21,1.04,19.79,6.25,39,CTRL,Low Anxiety
2,115,49,66,7.61,4.35,7.61,7.61,9.78,10.87,6.52,2.17,6.52,8.7,11.96,1.09,6.52,2.17,2.17,4.35,22.83,11.96,39,CTRL,Low Anxiety
3,105,46,59,9.21,6.58,11.84,5.26,7.89,3.95,9.21,2.63,9.21,10.53,1.32,5.26,9.21,3.95,2.63,1.32,5.26,10.53,39,CTRL,Low Anxiety
4,100,51,49,4.71,7.06,7.06,8.24,8.24,7.06,2.35,7.06,7.06,8.24,8.24,2.35,3.53,3.53,5.88,9.41,15.29,14.12,39,CTRL,Low Anxiety
5,105,57,48,3.37,5.62,3.37,8.99,3.37,8.99,2.25,11.24,5.62,6.74,6.74,4.49,7.87,3.37,10.11,7.87,15.73,11.24,39,CTRL,Low Anxiety
6,77,38,39,5.13,5.13,7.69,7.69,10.26,10.26,5.13,5.13,5.13,12.82,10.26,5.13,5.13,5.13,0,0,20.51,5.13,39,CTRL,Low Anxiety
1,144,81,63,0,1.79,3.57,6.25,4.46,11.61,7.14,8.04,0.89,7.14,13.39,8.04,4.46,9.82,6.25,7.14,25,7.14,40,CTRL,High Anxiety
2,119,60,59,0,4.49,4.49,3.37,6.74,17.98,5.62,4.49,4.49,3.37,21.35,7.87,1.12,8.99,5.62,0,39.33,0,40,CTRL,High Anxiety
3,109,50,59,11.36,6.82,9.09,2.27,9.09,12.5,4.55,1.14,5.68,5.68,13.64,4.55,2.27,4.55,2.27,4.55,26.14,15.91,40,CTRL,High Anxiety
4,113,63,50,0,0,1.75,1.75,3.51,17.54,10.53,5.26,1.75,3.51,19.3,12.28,1.75,14.04,5.26,1.75,36.84,1.75,40,CTRL,High Anxiety
5,89,49,40,0,0,0,8.33,8.33,16.67,8.33,8.33,0,8.33,16.67,8.33,0,0,8.33,8.33,33.33,8.33,40,CTRL,High Anxiety
6,88,47,41,0,7.14,3.57,3.57,3.57,14.29,14.29,3.57,7.14,3.57,10.71,10.71,7.14,7.14,3.57,0,25,0,40,CTRL,High Anxiety
1,137,53,84,7.75,8.53,14.73,2.33,12.4,9.3,3.1,3.88,7.75,8.53,6.2,4.65,3.88,2.33,3.88,0.78,15.5,8.53,41,CAS,Low Anxiety
2,115,53,62,4.21,6.32,8.42,2.11,7.37,15.79,5.26,3.16,5.26,5.26,16.84,6.32,2.11,5.26,3.16,3.16,32.63,7.37,41,CAS,Low Anxiety
3,77,38,39,0,1.54,7.69,1.54,6.15,26.15,0,4.62,1.54,9.23,24.62,3.08,4.62,1.54,4.62,3.08,50.77,3.08,41,CAS,Low Anxiety
4,101,46,55,3.61,4.82,7.23,9.64,8.43,7.23,8.43,3.61,4.82,10.84,7.23,2.41,9.64,2.41,3.61,6.02,14.46,9.64,41,CAS,Low Anxiety
5,103,48,55,4.65,5.81,12.79,2.33,11.63,12.79,1.16,5.81,5.81,6.98,10.47,4.65,2.33,4.65,5.81,2.33,23.26,6.98,41,CAS,Low Anxiety
6,160,87,73,3.55,3.55,4.26,4.96,6.38,9.22,2.84,9.93,4.26,4.96,10.64,8.51,3.55,9.93,9.22,4.26,19.86,7.8,41,CAS,Low Anxiety
1,166,75,91,6.25,3.12,4.69,2.34,3.91,29.69,3.91,0,3.12,4.69,31.25,2.34,2.34,2.34,0,0,60.94,6.25,42,CAS,High Anxiety
2,173,80,93,4.29,3.57,6.43,1.43,2.86,31.43,3.57,1.43,2.86,4.29,28.57,3.57,3.57,0.71,1.43,0,60,4.29,42,CAS,High Anxiety
3,110,50,60,0,0,11.11,0,8.08,33.33,1.01,0,0,11.11,33.33,1.01,1.01,0,0,0,66.67,0,42,CAS,High Anxiety
4,114,52,62,1.94,0.97,8.74,2.91,8.74,23.3,6.8,0,1.94,10.68,23.3,3.88,2.91,3.88,0,0,46.6,1.94,42,CAS,High Anxiety
5,157,80,77,0,0,5.8,2.9,5.8,31.16,3.62,1.45,0,7.97,31.16,2.9,2.17,2.17,0.72,2.17,62.32,2.17,42,CAS,High Anxiety
6,169,77,92,8,5.33,6,3.33,5.33,20,5.33,2.67,4.67,4,18.67,5.33,3.33,4.67,2.67,0.67,38.67,8.67,42,CAS,High Anxiety
1,93,30,63,12.7,7.94,9.52,0,11.11,15.87,1.59,3.17,9.52,1.59,14.29,4.76,3.17,1.59,3.17,0,30.16,12.7,43,CAS,Low Anxiety
2,57,18,39,11.9,9.52,19.05,2.38,16.67,7.14,2.38,0,9.52,9.52,4.76,0,4.76,0,2.38,0,11.9,11.9,43,CAS,Low Anxiety
3,47,15,32,15.62,6.25,12.5,3.12,12.5,12.5,3.12,0,12.5,6.25,12.5,0,3.12,0,0,0,25,15.62,43,CAS,Low Anxiety
4,120,44,76,8.16,10.2,12.24,2.04,11.22,13.27,6.12,0,10.2,3.06,12.24,3.06,4.08,3.06,1.02,0,25.51,8.16,43,CAS,Low Anxiety
5,119,59,60,4.35,4.35,5.43,3.26,5.43,17.39,5.43,3.26,4.35,4.35,17.39,6.52,3.26,6.52,3.26,5.43,34.78,9.78,43,CAS,Low Anxiety
6,117,48,69,8.25,8.25,11.34,5.15,10.31,8.25,6.19,2.06,7.22,7.22,9.28,3.09,5.15,3.09,2.06,3.09,17.53,11.34,43,CAS,Low Anxiety
1,154,81,73,2.17,4.35,6.52,5.07,9.42,10.14,3.62,5.07,5.07,7.25,13.04,3.62,2.9,7.25,6.52,7.97,23.19,10.14,44,CAS,High Anxiety
2,113,67,46,0,1.14,7.95,2.27,3.41,14.77,4.55,7.95,1.14,9.09,10.23,9.09,4.55,7.95,7.95,7.95,25,7.95,44,CAS,High Anxiety
3,69,31,38,1.72,5.17,12.07,5.17,13.79,12.07,3.45,3.45,5.17,12.07,15.52,0,3.45,3.45,3.45,0,27.59,1.72,44,CAS,High Anxiety
4,92,49,43,1.33,4,8,2.67,5.33,21.33,4,4,4,5.33,18.67,6.67,2.67,5.33,4,2.67,40,4,44,CAS,High Anxiety
5,101,54,47,0,1.75,1.75,3.51,3.51,21.05,7.02,3.51,1.75,3.51,22.81,7.02,3.51,10.53,7.02,1.75,43.86,1.75,44,CAS,High Anxiety
6,100,51,49,0,1.75,5.26,5.26,3.51,15.79,5.26,7.02,0,7.02,19.3,5.26,5.26,7.02,10.53,1.75,35.09,1.75,44,CAS,High Anxiety
1,153,72,81,7.09,6.3,6.3,4.72,6.3,12.6,7.87,3.94,5.51,5.51,11.02,7.87,3.94,6.3,3.94,0.79,23.62,7.87,45,CAS,Low Anxiety
2,115,58,57,2.06,2.06,6.19,1.03,5.15,26.8,5.15,2.06,2.06,5.15,24.74,6.19,1.03,5.15,2.06,3.09,51.55,5.15,45,CAS,Low Anxiety
3,78,37,41,7.14,5.36,5.36,7.14,7.14,16.07,7.14,1.79,3.57,7.14,19.64,1.79,0,8.93,1.79,0,35.71,7.14,45,CAS,Low Anxiety
4,55,27,28,0,0,6.98,2.33,4.65,27.91,6.98,0,0,6.98,30.23,6.98,2.33,4.65,0,0,58.14,0,45,CAS,Low Anxiety
5,116,62,54,0.99,0.99,5.94,1.98,2.97,25.74,3.96,2.97,0.99,6.93,24.75,5.94,3.96,4.95,2.97,3.96,50.5,4.95,45,CAS,Low Anxiety
6,86,43,43,2.41,2.41,6.02,2.41,2.41,21.69,10.84,1.2,2.41,6.02,19.28,9.64,4.82,7.23,1.2,0,40.96,2.41,45,CAS,Low Anxiety
1,115,67,48,1.39,0,4.17,2.78,1.39,12.5,6.94,8.33,0,8.33,9.72,11.11,6.94,8.33,8.33,9.72,22.22,11.11,46,CAS,Low Anxiety
2,103,54,49,0,2.17,4.35,3.26,4.35,26.09,4.35,3.26,2.17,5.43,27.17,4.35,2.17,5.43,3.26,2.17,53.26,2.17,46,CAS,Low Anxiety
3,111,71,40,0,0,3.77,7.55,1.89,9.43,5.66,11.32,0,7.55,5.66,9.43,5.66,5.66,7.55,18.87,15.09,18.87,46,CAS,Low Anxiety
4,121,84,37,2.56,3.85,2.56,1.28,1.28,2.56,3.85,7.69,3.85,0,2.56,8.97,3.85,11.54,10.26,33.33,5.13,35.9,46,CAS,Low Anxiety
5,105,54,51,0,2.56,3.85,5.13,6.41,24.36,3.85,2.56,2.56,6.41,25.64,2.56,2.56,3.85,3.85,3.85,50,3.85,46,CAS,Low Anxiety
6,101,50,51,3.08,3.08,7.69,3.08,6.15,24.62,3.08,3.08,1.54,9.23,24.62,1.54,3.08,1.54,3.08,1.54,49.23,4.62,46,CAS,Low Anxiety
1,16,104,-88,1.31,1.72,1.63,0.06,1.32,0.14,0.53,0.93,0.41,4.88,1.31,0.02,0.03,0.08,0.04,0.07,16.53,0.97,38,CTRL,High Anxiety
2,73,7,66,0.71,0.19,3.38,1.1,1.15,3,0.05,0.45,1.34,1.28,4.93,0.01,0.12,0.56,0.28,0.02,1.79,0.65,38,CTRL,High Anxiety
3,147,14,133,1.32,0.16,0.77,0.74,0.62,5.24,0.44,0.58,0.92,0.44,0.32,0.03,0.13,0.38,0.28,0.38,14.1,0.61,38,CTRL,High Anxiety
4,88,29,59,0.28,0.3,0.93,1.31,0.42,8.65,0.21,0.2,0.85,0,5.63,2.16,3.01,0.47,0.51,0.31,2.83,2.6,38,CTRL,High Anxiety
5,212,30,182,0.14,0.9,0.05,0.42,0.49,0.79,2.4,0.57,0.07,0.08,1.49,0.69,0.3,0.61,0.4,0.27,3.39,0.29,38,CTRL,High Anxiety
6,70,97,-27,0.04,0.74,0.2,1.36,1.6,1.5,1.89,0.34,0.3,1.44,6.26,1.11,1.07,0.21,0.92,0.31,0.61,0.03,38,CTRL,High Anxiety
1,182,45,137,0.8,0.04,1.62,0.56,1.72,8.9,0.44,0.55,0.24,0.77,1.7,0.25,0.15,0.49,0.86,0.25,8.61,0.13,33,CAS,High Anxiety
2,38,9,29,0.46,2.72,0.14,2.51,0.79,2.25,0.49,0.27,2.3,2.4,1.15,0.05,0.76,1.23,0.42,0.04,6.5,0.03,33,CAS,High Anxiety
3,196,131,65,1.01,0.22,0.25,0.14,1.4,0.35,0,0.88,0.58,0.72,6.36,2.53,1.49,0.37,0.28,0.15,6.35,0.94,33,CAS,High Anxiety
4,24,58,-34,1.96,0.9,0.52,0.16,0.27,0.25,1.53,1.08,0.37,0.03,3.96,0.51,0.2,0.61,0.37,0.86,2.98,1.27,33,CAS,High Anxiety
5,26,17,9,0.74,0.58,1.39,0.58,1.25,0.88,2.25,0.09,0.98,0.41,4.28,0.37,0.04,0.96,0.86,0.09,1.12,2.14,33,CAS,High Anxiety
6,118,25,93,0.1,0.06,2.17,0.64,2.31,4.66,0.6,0.45,0.36,2.31,0.32,0.32,1.36,0.62,0.06,0.28,9.5,2.25,33,CAS,High Anxiety
1,253,12,241,0.06,0.46,0.89,0.49,0.39,0.84,0.22,1.31,0.14,0.36,0.93,2.71,0.34,0.36,0.37,1.44,6.79,3.79,35,CAS,Low Anxiety
2,1,8,-7,0.64,1.22,3.58,0.17,1.52,0.94,0.95,0.34,0.24,0.2,6.56,0.5,1.12,0.86,0.47,0.06,0.62,2.36,35,CAS,Low Anxiety
3,62,29,33,1.4,0.67,1.24,0.74,0.75,2.88,1.09,0.14,1.5,1.63,2.36,1.37,0.8,1.74,0.48,0.48,9.13,0.11,35,CAS,Low Anxiety
4,74,36,38,1.24,2,0.63,0.28,1.52,0.23,0.1,0.76,3.99,0.72,1.22,0.07,2.32,0.43,0.54,0.31,6.02,0.54,35,CAS,Low Anxiety
5,99,13,86,1.02,1.29,0.15,0.32,0.77,8.22,0.16,1.08,0.21,0.04,0.78,0.01,0.2,0.31,0.67,0.17,3.09,2.07,35,CAS,Low Anxiety
6,134,198,-64,3.1,0.21,1.69,1.3,2.36,0.47,2.91,0.11,0.17,1.77,0.78,0.82,0.28,0.8,1.62,0.57,0.56,0.61,35,CAS,Low Anxiety
1,223,41,182,0.17,1.43,1.18,0.19,0.79,4.08,0.18,0.55,0.83,0.4,4.15,0.23,0.83,1.95,0.12,0.47,3.95,0.46,29,CTRL,High Anxiety
2,28,2,26,0.09,0.4,0.61,0.06,0.39,1,0.69,0.25,0.1,1.99,0.63,0.28,0.77,1.07,0.75,0.11,4.21,0.04,29,CTRL,High Anxiety
3,19,97,-78,1.04,0.6,0.03,0.75,2.39,3.36,0.52,0.43,0.53,2.03,0.23,0.76,0.12,0.47,0.51,0.01,0.78,0.42,29,CTRL,High Anxiety
4,151,67,84,0.16,0.38,0.85,1.39,0.34,1.57,2.03,0,1.03,0.37,7.43,0.06,0.68,0.52,0.07,0.89,18.52,0.41,29,CTRL,High Anxiety
5,149,67,82,0.15,0.01,0.11,0.7,1.1,2.56,2.63,0.02,0.03,1.83,3.58,2.49,0.89,0.06,1.36,0.08,1.77,2.66,29,CTRL,High Anxiety
6,98,56,42,0.73,0.19,2.92,0.82,0.76,7.13,0.68,2.09,0.26,0.2,3.92,2.23,0.46,0.85,0.21,0.62,10.42,0.55,29,CTRL,High Anxiety
